Time,Traction force (Vehicle)
s,N
0.0,0.0
1.0,6894.086335354472
2.0,803.3542677381691
3.0,5960.780693418381
4.0,2296.1142253447647
5.0,33.63508043264538
6.0,4872.944679219637
7.0,2363.031020046326
8.0,52.2859530379146
9.0,4023.3034714241794
10.0,2729.1616819378005
11.0,1332.0509875578377
12.0,70.7295582489112
13.0,3147.9814588092872
14.0,3157.8879651648667
15.0,3167.871110504231
16.0,2967.6374886867407
17.0,2048.851521875467
18.0,1639.4476554977462
19.0,1455.3223144660265
20.0,1381.5145093877638
21.0,1353.348154209473
22.0,1343.8209355478652
23.0,1341.7067815535179
24.0,1342.370230378078
25.0,1343.924581476539
26.0,1345.6258258791465
27.0,1347.201358707372
28.0,1348.5697368144652
29.0,1349.7241314413689
30.0,1350.6843038965342
31.0,1351.47721931047
32.0,1352.1295726821788
33.0,1352.6652155366085
34.0,1353.1045501094711
35.0,1353.4646710945956
